subject,predicate,object
Глубинный_гном_Свирфнеблин_Deep_Gnome_Svirfneblin,hasSize,Маленький
Упырь_Wight,hasWis,13
Рыцарь_смерти_Death_Knight,hasArmor,20
Ржавый_монстр_Rust_Monster,type,NamedIndividual
Драйдер_Заклинатель_Drider_Spellcaster,hasLocation,Пустыня
Тараска_Tarrasque,hasImmunityToDamage,Колющий
Волк-оборотень_Werewolf,hasArmor,11
23,hasRankEx,50000.0
Кошмар_в_шлеме_Helmed_Horror,hasImmunityToDamage,Ядовитый
Гитиянки_рыцарь_Githyanki_Knight,hasStr,16
Фейский_ДраконЗеленый_Faerie_Dragon_Green,type,Enemy
Молодой_Серебряный_Дракон_Young_Silver_Dragon,hasImmunityToDamage,Холодный
Гарпия_Harpy,hasCon,12
Суккуб/Инкуб_Succubus/Incubus,hasResistanceToDamage,Колющий
Скелет_боевого_коня_Warhorse_Skeleton,hasType,Нежить
Гриф_Vulture,type,NamedIndividual
Медуза_Medusa,hasCha,15
Гитзераи_Зерт_Githzerai_Zerth,hasArmor,17
Пурпурный_червь_Purple_Worm,hasWis,8
Дроу_жрица_Лолт_Drow_Priestess_of_Lolth,hasCon,12
Желатиновый_куб_Gelatinous_Cube,hasImmunityToState,Очарованный
Призрак_Ghost,hasResistanceToDamage,Огненный
Воин_племени_Tribal_Warrior,hasInt,8
Водный_Элементаль_Water_Elemental,hasCha,8
Призрак_Ghost,hasResistanceToDamage,Рубящий
Аватар_Смерти_Avatar_of_Death,hasImmunityToState,Окаменевший
Куо-тоа_архисвященник_куо-тоа_Archpriest,type,Enemy
Паровой_мефит_Steam_Mephit,hasRank,1/4
Фомориан_Fomorian,hasCha,6
Гигантская_сова_Giant_Owl,type,Enemy
Древний_Латунный_Дракон_Ancient_Brass_Dragon,type,NamedIndividual
Оживший_Доспех_Animated_Armor,hasImmunityToState,Испуганный
Гигантский_лось_Giant_Elk,hasSize,Огромный
Стридж_Stirge,hasHp,2
Гигантский_паук_Giant_Spider,hasWorldview,Истинно_нейтральный
Гитзераи_Зерт_Githzerai_Zerth,hasCon,15
Штормовой_великан_Storm_Giant,hasRank,13
Фея_Sprite,hasArmor,15
Циклоп_Cyclops,hasWis,6
Берсерк_Berserker,hasSize,Средний
Взрослый_Миконид_Myconid_Adult,hasType,Растение
Гигантская_муха_Giant_Fly,hasHp,19
Дроу_жрица_Лолт_Drow_Priestess_of_Lolth,hasHp,71
Глабрезу_Glabrezu,hasStr,20
Аватар_Смерти_Avatar_of_Death,hasArmor,20
Огр-зомби_Ogre_Zombie,hasType,Нежить
Темная_мантия_Darkmantle,hasRank,1/2
Призрак_Ghost,hasWis,12
Огр_Ogre,hasCon,16
Рой_пауков_Swarm_of_Spiders,hasCon,10
Дроу_жрица_Лолт_Drow_Priestess_of_Lolth,hasWis,17
Дух_Wraith,hasResistanceToDamage,Рубящий
Парализованный,type,States
Мимик_Mimic,hasCha,8
Золотой_Дракон_Вирм_Gold_Dragon_Wyrmling,type,NamedIndividual
Черный_Дракон_Вирм_Black_Dragon_Wyrmling,hasWorldview,Хаотичный_злой
Плесиозавр_Plesiosaurus,hasStr,18
Красный_Дракон_Вирм_Red_Dragon_Wyrmling,hasHp,75
Галеб_Дур_Galeb_Duhr,type,NamedIndividual
Яман_Chasme,hasWorldview,Хаотичный_злой
Демилич_Demilich,hasStr,1
Летающий_меч_Flying_Sword,type,Enemy
Древний_Синий_Дракон_Ancient_Blue_Dragon,hasWis,17
Глабрезу_Glabrezu,hasSize,Большой
Пустыня,type,NamedIndividual
Шакал_Jackal,hasSize,Маленький
Гигантская_ящерица_Giant_Lizard,hasInt,2
Грязевой_мефит_Mud_Mephit,hasType,Элементаль
Скелет_боевого_коня_Warhorse_Skeleton,hasImmunityToState,Истощенный
Марид_Marid,hasSize,Большой
Рой_Квипперов_Swarm_of_Quippers,hasResistanceToDamage,Колющий
Гигантская_ящерица_Giant_Lizard,hasWis,10
Вампир_воин_Vampire_Warrior,hasRank,15
Молодой_Бронзовый_Дракон_Bronze,type,Enemy
Фейский_ДраконСиний_Faerie_Dragon_Indigo,hasWis,12
Рой_пауков_Swarm_of_Spiders,hasStr,3
Гигантский_краб_Giant_Crab,type,NamedIndividual
Вампир_Vampire,type,NamedIndividual
Нага_страж_Guardian_Naga,hasLocation,Горы
Они_Oni,hasHp,110
Рой_ос_Swarm_of_Wasps,hasImmunityToState,Сбитый_с_ног
Мясной_голем_Flesh_Golem,hasImmunityToState,Парализованный
Ультролот_Ultroloth,hasLocation,Под_водой
Мастиф_Mastiff,hasWorldview,Истинно_нейтральный
Верблюд_Camel,hasType,Зверь
17,hasRankEx,18000.0
Химера_Chimera,hasCon,19
Законопослушный_нейтральный,type,NamedIndividual
Волк-оборотень_Werewolf,hasLocation,Тропики
Акула_охотник_Hunter_Shark,type,NamedIndividual
Юан-ти_Форма_проклятия_1_Yuan-ti_Malison_Type_1,hasRank,3
Гиносфинкс_Gynosphinx,hasCon,16
Паровой_мефит_Steam_Mephit,hasSize,Маленький
Коатль_Couatl,hasInt,18
Горгулья_Gargoyle,hasResistanceToDamage,Колющий
Гитиянки_Warrior,hasArmor,17
Полуогр_Огриллон_Half-Ogre_Ogrillon,hasWorldview,Хаотичный_нейтральный
Черный_Дракон_Вирм_Black_Dragon_Wyrmling,hasType,Дракон
Пикси_Pixie,hasCon,8
Пикси_Pixie,hasWorldview,Нейтральный_добрый
Огненная_змея_Fire_Snake,hasCon,11
Гигантская_гиена_Giant_Hyena,hasLocation,Подземье
Монодрон_Monodrone,hasArmor,15
Куазит_Quasit,hasResistanceToDamage,Электрический
Куаггот_Тонот_Quaggoth_Thonot,hasWis,12
Планетар_Planetar,hasResistanceToDamage,Дробящий
Огненный_Элементаль_Fire_Elemental,hasStr,10
Черный_Пудинг_Black_Pudding,hasImmunityToState,Испуганный
Марид_Marid,hasInt,18
Химера_Chimera,hasInt,3
Коатль_Couatl,hasImmunityToDamage,Психическая_энергия
Кошмар_в_шлеме_Helmed_Horror,type,Enemy
Паровой_мефит_Steam_Mephit,hasArmor,10
Ядовитая_змея_Poisonous_Snake,hasCha,3
Фейский_ДраконСиний_Faerie_Dragon_Indigo,hasRank,2
Ящерочеловек_Lizardfolk,hasSize,Средний
Взрослый_Золотой_Дракон_Adult_Gold_Dragon,hasWis,15
Рой_ядовитых_змей_Swarm_of_Poisonous_Snakes,hasWorldview,Истинно_нейтральный
Зимний_волк_Winter_Wolf,hasType,Монстр
Фейский_ДраконЖелтый_Faerie_Dragon_Yellow,hasArmor,15
Каменный_великан_Stone_Giant,hasWis,12
Невидимый,type,NamedIndividual
Гигантский_удав_Giant_Constrictor_Snake,hasArmor,12
Призрачный_паук_Phase_Spider,hasLocation,Полярная_тундра
25,type,NamedIndividual
Крючковатый_ужас_Hook_Horror,hasArmor,15
Служитель_Acolyte,hasType,Гуманоид
Взрослый_Латунный_Дракон_Adult_Brass_Dragon,hasImmunityToDamage,Огненный
Кабан-оборотень_Wereboar,hasRank,4
Эмпирей_Empyrean,hasCha,27
Рой_Квипперов_Swarm_of_Quippers,hasWis,7
Балор_Balor,hasResistanceToDamage,Колющий
Мумия_лорд_Mummy_Lord,hasImmunityToState,Испуганный
Никалот_Nycaloth,hasResistanceToDamage,Электрический
Гористро_Goristro,hasResistanceToDamage,Огненный
Ифрит_Efreeti,hasSize,Большой
Разбуженный_Куст_Awakened_Shrub,hasRank,0
Игловая_Зараза_Needle_Blight,hasArmor,12
Фомориан_Fomorian,type,NamedIndividual
Гористро_Goristro,hasResistanceToDamage,Рубящий
Рой_летучих_мышей_Swarm_of_Bats,hasImmunityToState,Окаменевший
Летучая_мышь_Bat,hasWis,12
Серая_слизь_Gray_Ooze,hasRank,1/2
Огненная_змея_Fire_Snake,hasResistanceToDamage,Колющий
Древний_Бронзовый_Дракон_Ancient_Bronze_Dragon,hasRank,22
Страшный_волк_Dire_Wolf,type,Enemy
Железный_голем_Iron_Golem,hasLocation,Тропики
Ледяной_мефит_Ice_Mephit,hasWis,11
Демон-боец_Pit_Fiend,hasCha,24
Трицератопс_Triceratops,type,Enemy
Костяной_Дьявол_Копьеносец_Bone_Devil_Polearm,hasSize,Большой
Пожиратель_разума_Intellect_Devourer,hasImmunityToState,Ослеплённый
Гитзераи_Зерт_Githzerai_Zerth,type,Enemy
Взрослый_Медный_Дракон_Adult_Copper_Dragon,hasStr,23
Булетт_Bulette,hasCon,21
Адская_гончая_Hell_Hound,hasSize,Средний
Удушающий_ковер_Rug_of_Smothering,hasWis,3
Теневой_демон_Shadow_Demon,hasVulnerabilityToDamage,Излучение
Болтающие_рты_Gibbering_Mouther,hasHp,67
Молодой_Черный_Дракон_Young_Black_Dragon,hasLocation,Подземье
Рой_ос_Swarm_of_Wasps,hasCha,1
Серый_слаад_Gray_Slaad,hasRank,9
Трицератопс_Triceratops,hasHp,95
Вурдалак_Ghast,hasType,Нежить
Молодой_Белый_Дракон_Young_White_Dragon,hasRank,6
Хобгоблин_военачальник_Hobgoblin_Warlord,hasWis,11
Пес_Смерти_Death_Dog,hasInt,3
Барсук_Badger,hasInt,2
Куаггот_служитель_спор_Quaggoth_Spore_Servant,hasSize,Средний
Красный_Слаад_Red_Slaad,hasInt,6
Взрослый_Зеленый_Дракон_Adult_Green_Dragon,hasHp,207
Ревенант_Revenant,hasLocation,Полярная_тундра
Древний_Медный_Дракон_Ancient_Copper_Dragon,hasImmunityToDamage,Кислотный
Гигантский_паук_Giant_Spider,hasType,Зверь
Куо-тоа_куо-тоа,hasSize,Средний
Вампир_воин_Vampire_Warrior,hasResistanceToDamage,Рубящий
Куаггот_служитель_спор_Quaggoth_Spore_Servant,hasWis,6
Парализованный,type,NamedIndividual
Мул_Mule,type,Enemy
Куаггот_служитель_спор_Quaggoth_Spore_Servant,hasRank,1
Манз_Manes,hasInt,3
Гигантская_крыса_Giant_Rat,hasType,Зверь
Пещерный_Медведь_Cave_Bear,hasInt,2
Гигантский_горностай_Giant_Weasel,hasSize,Средний
hasWis,domain,Enemy
Пещерный_Медведь_Cave_Bear,hasHp,42
Элементаль,type,Type
Ледяной_Дьявол-Копейщик_Ice_Devil_Spear,hasWis,15
Протыкатель_Piercer,hasInt,1
Синий_Слаад_Blue_Slaad,hasWorldview,Хаотичный_нейтральный
Пожиратель_разума_Intellect_Devourer,hasResistanceToDamage,Рубящий
Водная_аномалия_Water_Weird,hasImmunityToState,Отравленный
Маг_Mage,hasCha,11
Серая_слизь_Gray_Ooze,hasImmunityToState,Оглохший
Юан-ти_Форма_проклятия_1_Yuan-ti_Malison_Type_1,hasStr,16
Гигантская_ящерица_Giant_Lizard,hasHp,19
Птеранодон_Pteranodon,hasLocation,Подземье
Скелет_боевого_коня_Warhorse_Skeleton,hasStr,18
Гигантский_светлячок_Giant_Fire_Beetle,hasType,Зверь
Йети_Yeti,type,NamedIndividual
Колючий_Дьявол_Spined_Devil,hasResistanceToDamage,Колющий
Тигр_Tiger,hasWis,12
Эмпирей_Empyrean,type,Enemy
Гримлок_Grimlock,hasLocation,Горы
Мамонт_Mammoth,hasInt,3
Чистокровный_Юан-ти_Yuan-ti_Pureblood,hasType,Гуманоид
Сатир_Satyr,hasWis,10
Яман_Chasme,hasLanguage,Бездны
Хезроу_Hezrou,hasLocation,Руины
Теневой_демон_Shadow_Demon,hasWorldview,Хаотичный_злой
Багбир_Bugbear,type,NamedIndividual
Перитон_Peryton,type,NamedIndividual
Грик_Grick,type,NamedIndividual
Молодой_Золотой_Дракон_Young_Golden_Dragon,hasWis,13
Мерроу_Merrow,hasLanguage,Бездны
Инфернальный,type,Language
Взрослый_Медный_Дракон_Adult_Copper_Dragon,hasHp,184
Дворянин_Noble,hasInt,12
Солар_Solar,hasImmunityToState,Отравленный
Гиносфинкс_Gynosphinx,hasArmor,17
Обезьяна_Ape,type,NamedIndividual
Гигантская_обезьяна_Giant_Ape,hasHp,157
Секироклюв_Axe_Beak,hasSize,Большой
Фея_Sprite,type,Enemy
Три-крин_Thri-kreen,hasSize,Средний
Пантера_Panther,hasStr,14
Квадрон_Quadrone,type,NamedIndividual
Пегас_Pegasus,hasWorldview,Хаотичный_добрый
Коатль_Couatl,hasRank,4
Древний_Синий_Дракон_Ancient_Blue_Dragon,hasCha,21
Коатль_Couatl,hasWis,20
Гоблин_Босс_Goblin_Boss,hasSize,Маленький
Гиппогриф_Hippogriff,hasStr,17
Паровой_мефит_Steam_Mephit,hasType,Элементаль
Архимаг_Archmage,hasResistanceToDamage,Импровизированный_урон
Костяной_Дьявол_Bone_Devil,hasCon,18
Дроу_жрица_Лолт_Drow_Priestess_of_Lolth,hasWorldview,Нейтральный_злой
Ползущий_Падальшик_Carrion_Crawler,hasCon,16
Гидра_Hydra,type,NamedIndividual
Гигантский_Осьминог_Giant_Octopus,hasStr,17
Кокатрис_Cockatrice,type,Enemy
Молодой_Реморхаз_Young_Remorhaz,type,NamedIndividual
Древний_Белый_Дракон_Ancient_White_Dragon,hasImmunityToDamage,Холодный
Совомедведь_Owlbear,hasType,Монстр
Черный_Дракон_Вирм_Black_Dragon_Wyrmling,hasLanguage,Драконий
Вампир_заклинатель_Vampire_Spellcaster,hasResistanceToDamage,Некротический
Зеленая_ведьма_Green_Hag,hasWis,14
Черный_Дракон_Вирм_Black_Dragon_Wyrmling,hasRank,2
Гигантский_орел_Giant_Eagle,hasType,Зверь
Стражник_Guard,hasCon,12
Драйдер_Заклинатель_Drider_Spellcaster,hasRank,6
Псевдодракон_Pseudodragon,hasCon,13
Земляной_Элементаль_Earth_Elemental,hasImmunityToDamage,Ядовитый
Дроу_жрица_Лолт_Drow_Priestess_of_Lolth,hasSize,Средний
Шакал-оборотень_Jackalwere,hasHp,18
Водная_аномалия_Water_Weird,type,NamedIndividual
Рифовая_акула_Reef_Shark,type,Enemy
Верблюд_Camel,hasInt,2
Зомби_Zombie,hasStr,13
Они_Oni,hasInt,14
Меззолот_Mezzoloth,hasWis,10
Стридж_Stirge,hasRank,1/8
Вампир_заклинатель_Vampire_Spellcaster,hasResistanceToDamage,Колющий
Глабрезу_Glabrezu,hasCon,21
Гоблин_Босс_Goblin_Boss,hasLanguage,Гоблинский
Морской_конь_Sea_Horse,type,NamedIndividual
Багбир_Шеф_Bugbear_Chief,hasWis,12
Сахуагин_барон_Sahuagin_Baron,hasCha,17
Альфа_грик_Grick_Alpha,hasResistanceToDamage,Дробящий
Кабан-оборотень_Wereboar,hasType,Гуманоид
Скелет-минотавр_Minotaur_Skeleton,hasWorldview,Законопослушный_злой
Барлгура_Barlgura,hasCon,16
Йочлол_Yochlol,hasLanguage,Подземный
Шакал-оборотень_Jackalwere,hasImmunityToDamage,Рубящий
Великаний,type,Language
Ползущая_насыпь_Shambling_Mound,hasCon,16
Молодой_Белый_Дракон_Young_White_Dragon,hasArmor,17
Невидимый_сталкер_Invisible_Stalker,type,Enemy
Скорпион_Scorpion,hasArmor,11
Ползущий_Коготь_Crawling_Claw,hasInt,5
Теневой_демон_Shadow_Demon,hasInt,14
Осьминог_Octopus,hasArmor,12
Кошмар_Nightmare,hasStr,18
Гиносфинкс_Gynosphinx,hasRank,11
Эриний_Erinyes,hasLanguage,Инфернальный
Гигантский_удав_Giant_Constrictor_Snake,hasType,Зверь
Нотик_Nothic,type,Enemy
Сахуагин_жрица_Sahuagin_Priestess,hasCon,12
Воздушный_Элементаль_Air_Elemental,hasCon,14
Полтергейст_Poltergeist,hasImmunityToDamage,Ядовитый
Серая_слизь_с_атакой_психики_Gray_Ooze_Psychic,hasResistanceToDamage,Кислотный
Костяной_Naga_Дух_Bone_Naga_Spirit,hasArmor,15
Невидимый_сталкер_Invisible_Stalker,hasImmunityToState,Бессознательный
Аватар_Смерти_Avatar_of_Death,hasLocation,Болото
Темная_мантия_Darkmantle,hasInt,2
Дворянин_Noble,hasWorldview,Истинно_нейтральный
Истинно_нейтральный,comment,"К этим ребятам принадлежат люди, которых чаще всего называют «третьей стороной». Если они и участвуют в конфликтах, то держатся особняком и не присоединяются ни к кому. Считается, что это мировоззрение отлично подходит для тех, кто не может решить, что их влечет больше — добро или зло, закон или хаос. Их не отягощает груз эмоций и привязанностей, а четкие рамки закона для них не важны."
Гриф_Vulture,hasRank,0
Гладиатор_Gladiator,hasCon,16
Никалот_Nycaloth,hasSize,Большой
Грик_Grick,hasLocation,Горы
Взрослый_Серебряный_Дракон_Adult_Silver_Dragon,hasWis,13
Ящерица_Lizard,hasCha,3
Багбир_Bugbear,hasCha,9
Газовая_спора_Gas_Spore,hasArmor,5
Гигантский_горностай_Giant_Weasel,hasCon,10
Солар_Solar,hasImmunityToDamage,Ядовитый
Гуль_Ghoul,hasSize,Средний
Яман_Chasme,hasResistanceToDamage,Электрический
Фейский_ДраконКрасный_Faerie_Dragon_Red,type,Enemy
Ракшаса_Rakshasa,hasImmunityToDamage,Колющий
Сахуагин_Sahuagin,hasCha,9
Зеленый_Дракон_Вирм_Green_Dragon_Wyrmling,hasRank,2
Пантера_Panther,hasType,Зверь
Сатир_Satyr,hasWorldview,Хаотичный_нейтральный
Молодой_Золотой_Дракон_Young_Golden_Dragon,type,NamedIndividual
Огр_Ogre,hasLanguage,Великаний
Осьминог_Octopus,hasWorldview,Истинно_нейтральный
Теневой_демон_Shadow_Demon,hasImmunityToState,Парализованный
Чёрный_медведь_Black_Bear,hasSize,Средний
Рой_Квипперов_Swarm_of_Quippers,hasResistanceToDamage,Дробящий
Огненная_змея_Fire_Snake,hasArmor,14
Каменный_великан_Stone_Giant,hasType,Великан
Лошадь_Draft_Horse,type,Enemy
Скелет_боевого_коня_Warhorse_Skeleton,hasSize,Большой
Древний_Латунный_Дракон_Ancient_Brass_Dragon,hasLocation,Руины
Молодой_Медный_Дракон_Young_Copper_Dragon,hasSize,Большой
Балливаг_Bullywug,hasLocation,Руины
Псевдодракон_Pseudodragon,hasCha,10
Хезроу_Hezrou,hasImmunityToDamage,Ядовитый
Железный_голем_Iron_Golem,hasImmunityToDamage,Огненный
Золотой_Дракон_Вирм_Gold_Dragon_Wyrmling,hasWorldview,Законопослушный_добрый
Красный_Слаад_Red_Slaad,hasCha,7
Демон-боец_Pit_Fiend,hasCon,24
Дымный_мефит_Smoke_Mephit,hasWis,10
Мимик_Mimic,hasSize,Средний
Рой_летучих_мышей_Swarm_of_Bats,hasSize,Средний
Гигантская_гиена_Giant_Hyena,hasRank,1
Юан-ти_Форма_проклятия_2_Yuan-ti_Malison_Type_2,hasLanguage,Общий
Демилич_Demilich,hasRank,18
Орел_Eagle,hasCha,7
Банши_Banshee,hasResistanceToDamage,Кислотный
Молодой_Синий_Дракон_Young_Blue_Dragon,hasInt,14
Орочий,type,NamedIndividual
Земляной_Элементаль_Earth_Elemental,type,Enemy
Манз_Manes,hasHp,9
Дворянин_Noble,hasWis,14
Планетар_Planetar,hasSize,Большой
Кракен_Kraken,hasImmunityToDamage,Дробящий
Призрак_Ghost,hasImmunityToState,Очарованный
Летающий_меч_Flying_Sword,hasImmunityToState,Испуганный
Шакал-оборотень_Jackalwere,hasArmor,12
Рой_ос_Swarm_of_Wasps,hasLocation,Город
Обыватель_Commoner,hasLocation,Под_водой
Джинн_Djinni,hasType,Элементаль
Троглодит_Troglodyte,hasCha,6
Древний_Серебряный_Дракон_Ancient_Silver_Dragon,hasCha,23
Рой_ядовитых_змей_Swarm_of_Poisonous_Snakes,hasImmunityToState,Очарованный
Сова_Owl,type,Enemy
Чуул_Chuul,hasLocation,Болото
Рыцарь_Knight,hasCha,15
Паровой_мефит_Steam_Mephit,hasCha,12
Скорпион_Scorpion,hasLocation,Тропики
Куаггот_Тонот_Quaggoth_Thonot,hasType,Гуманоид
Пожиратель_разума_Intellect_Devourer,hasHp,21
Красный_Дракон_Вирм_Red_Dragon_Wyrmling,hasWorldview,Хаотичный_злой
Каменный_великан_Stone_Giant,hasWorldview,Истинно_нейтральный
Ослеплённый,type,States
Молодой_Бронзовый_Дракон_Bronze,hasArmor,18
Кентавр_Centaur,hasCon,14
Земляной_Элементаль_Earth_Elemental,hasImmunityToState,Бессознательный
Обезьяна_Ape,hasCha,7
hasStr,range,decimal
Темная_мантия_Darkmantle,hasType,Монстр
Сова_Owl,hasCha,7
Капитан_Бандитов_Bandit_Captain,type,Enemy
Гигантский_Осьминог_Giant_Octopus,hasHp,52
Слон_Elephant,hasSize,Огромный
Орк_Orc,hasHp,15
Дух_Wraith,hasWorldview,Нейтральный_злой
Красный_полудракон_ветеран_Half-Red_Dragon_Veteran,hasArmor,18
Морозный_великан_Frost_Giant,hasStr,23
Огр-зомби_Ogre_Zombie,hasInt,3
Газовая_спора_Gas_Spore,hasWorldview,Истинно_нейтральный
Альфа_грик_Grick_Alpha,hasStr,18
Черный_Дракон_Вирм_Black_Dragon_Wyrmling,hasCha,13
Мамонт_Mammoth,hasCon,21
Костяной_Naga_Дух_Bone_Naga_Spirit,hasImmunityToState,Истощенный
Куазит_Quasit,hasInt,7
Гигантская_крыса_Giant_Rat,hasArmor,12
Призрак_Ghost,hasImmunityToState,Схваченный
Огонек_Will-o'-Wisp,hasCon,10
Рыцарь_смерти_Death_Knight,type,NamedIndividual
Тридрон_Tridrone,hasArmor,15
hasArmor,type,DatatypeProperty
Пони_Pony,hasLocation,Болото
Слаад_головастик_Slaad_Tadpole,hasCon,10
Красный_полудракон_ветеран_Half-Red_Dragon_Veteran,hasCon,14
Слаад_головастик_Slaad_Tadpole,type,Enemy
Паровой_мефит_Steam_Mephit,hasImmunityToDamage,Огненный
Король/Королева_ящериц_Lizard_King/Queen,hasWis,11
Кошмар_в_шлеме_Helmed_Horror,hasImmunityToState,Испуганный
Огненная_змея_Fire_Snake,hasResistanceToDamage,Дробящий
Красный_Дракон_Вирм_Red_Dragon_Wyrmling,hasCon,17
Юан-ти_Форма_проклятия_3_Yuan-ti_Malison_Type_3,type,Enemy
Rank,type,Class
Орк_Глаз_Груумша_Orc_Eye_of_Gruumsh,hasArmor,16
Кислотный,type,Damage
Шакал-оборотень_Jackalwere,hasCha,10
Фламп_Flumph,type,Enemy
Полтергейст_Poltergeist,hasImmunityToState,Схваченный
Медуза_Горгона_Gorgon,hasCha,7
Спектр_Specter,hasImmunityToDamage,Некротический
Кенку_Kenku,hasType,Гуманоид
Волк-оборотень_Werewolf,hasType,Гуманоид
Гигантский_скорпион_Giant_Scorpion,hasStr,15
Гоблин_Goblin,hasType,Гуманоид
Кабан_Boar,hasArmor,11
Гиена_Hyena,hasCha,5
Кенку_Kenku,hasCha,10
Кракен_Kraken,hasLanguage,Инфернальный
Игловая_Зараза_Needle_Blight,hasRank,1/4
Стражник_Guard,hasCha,10
Зомби_Бехолдер_Beholder_Zombie,hasLanguage,Подземный
Грифон_Griffon,hasLocation,Равнина/луг
Тень_Shadow,hasImmunityToState,Отравленный
Кабашни_Nalfeshnee,hasResistanceToDamage,Колющий
Охряное_желе,hasImmunityToState,Ослеплённый
Фейский_ДраконКрасный_Faerie_Dragon_Red,hasHp,14
Морозный_великан_Frost_Giant,type,NamedIndividual
Минотавр_Minotaur,hasInt,6
hasVulnerabilityToDamage,domain,Enemy
Коатль_Couatl,hasImmunityToDamage,Колющий
Демилич_Demilich,hasImmunityToState,Оглохший
Хобгоблин_военачальник_Hobgoblin_Warlord,hasInt,14
Осьминог_Octopus,hasWis,10
Орог_Orog,hasLocation,Горы
Мумия_лорд_Mummy_Lord,hasInt,11
Имп_Imp,hasWorldview,Законопослушный_злой
Троглодит_Troglodyte,hasSize,Средний
Шпион_Spy,hasType,Гуманоид
Тиранозавр_Tyrannosaurus_Rex,type,Enemy
Ящерочеловек_Lizardfolk,hasArmor,15
Саблезубый_тигр_Saber-Toothed_Tiger,hasType,Зверь
Побережье,type,Location
Осьминог_Octopus,hasType,Зверь
Ультролот_Ultroloth,type,NamedIndividual
Магмин_Magmin,hasSize,Маленький
Гигантская_гиена_Giant_Hyena,type,Enemy
Отидж_Otyugh,hasLocation,Тропики
Шакал-оборотень_Jackalwere,hasSize,Средний
Колючий_Дьявол_Spined_Devil,hasResistanceToDamage,Дробящий
Куо-тоа_Кнут_куо-тоа_Whip,hasRank,1
Рой_воронов_Swarm_of_Ravens,hasCha,6
Глинянный_Голем_Clay_Golem,hasArmor,14
Синий_Дракон_Вирм_Blue_Dragon_Wyrmling,hasWis,11
Отвратительный_Йети_Abominable_Yeti,hasRank,9
Древний_Медный_Дракон_Ancient_Copper_Dragon,hasSize,Громадный
Планетар_Planetar,hasArmor,19
25,type,Rank
Глубинный_гном_Свирфнеблин_Deep_Gnome_Svirfneblin,hasCha,9
Красный_полудракон_ветеран_Half-Red_Dragon_Veteran,type,Enemy
